Title,DOI,Downloaded
,10.1038/s41429-023-00689-w,0
,10.1186/s40538-023-00521-5,0
,10.1007/s10570-023-05603-z,0
,10.1038/s41557-023-01388-7,0
,10.1007/s10570-023-05626-6,0
,10.1038/s41596-023-00946-0,0
,10.1007/s10863-023-09998-z,0
,10.1186/s40538-023-00520-6,0
,10.1007/s11101-023-09904-w,0
,10.1007/s11030-023-10760-1,0
,10.1007/s00706-023-03136-6,0
,10.1007/s41981-023-00297-7,0
,10.1007/s10570-023-05639-1,0
,10.1007/s00706-023-03146-4,0
,10.1038/s41557-023-01406-8,0
,10.1007/s10570-023-05637-3,0
,10.1186/s40538-023-00497-2,0
,10.1007/s00706-023-03135-7,0
,10.1007/s10570-023-05664-0,0
,10.1007/s00214-023-03077-7,0
,10.1186/s40538-023-00513-5,0
,10.1007/s10570-023-05601-1,0
,10.1186/s40538-023-00516-2,0
,10.1007/s11101-023-09902-y,0
,10.1007/s10570-023-05612-y,0
,10.1007/s10570-023-05624-8,0
,10.1186/s40538-023-00518-0,0
,10.1007/s10930-023-10162-0,0
,10.1186/s40538-023-00511-7,0
,10.1007/s10570-023-05640-8,0
,10.1186/s40538-023-00517-1,0
,10.1038/s41557-023-01391-y,0
,10.1007/s10904-023-02939-8,0
,10.1038/s41596-023-00909-5,0
,10.1038/s41570-023-00562-2,0
,10.1007/s11101-023-09899-4,0
,10.1007/s00706-023-03141-9,0
,10.1007/s13738-023-02886-8,0
,10.1038/s41596-023-00884-x,0
,10.1007/s11030-022-10584-5,0
,10.1007/s11030-022-10580-9,0
,10.1007/s11030-022-10570-x,0
,10.1007/s11030-022-10567-6,0
,10.1007/s11030-022-10576-5,0
,10.1007/s10904-023-02931-2,0
,10.1007/s00723-023-01631-x,0
,10.1038/s41557-023-01297-9,0
,10.1007/s00723-023-01607-x,0
,10.1007/s00706-021-02844-1,0
,10.1007/s13738-023-02894-8,0
,10.1007/s10570-023-05582-1,0
,10.1007/s00706-023-03140-w,0
,10.1007/s00723-023-01597-w,0
,10.1007/s10570-023-05606-w,0
,10.1007/s40097-022-00488-z,0
,10.1007/s40097-022-00475-4,0
,10.1007/s41981-023-00288-8,0
,10.1007/s10904-023-02626-8,0
,10.1007/s41981-023-00275-z,0
,10.1007/s00723-023-01564-5,0
,10.1007/s10930-023-10158-w,0
,10.1007/s00723-023-01604-0,0
,10.1007/s00706-022-02956-2,0
,10.1007/s00723-023-01578-z,0
,10.1007/s10570-023-05588-9,0
,10.1007/s10930-023-10154-0,0
,10.1007/s10570-023-05589-8,0
,10.1007/s10904-023-02744-3,0
,10.1007/s00723-023-01584-1,0
,10.1186/s40538-023-00510-8,0
,10.1007/s10570-023-05560-7,0
,10.1007/s00723-023-01588-x,0
,10.1007/s10570-023-05585-y,0
,10.1007/s00723-023-01598-9,0
,10.1007/s11101-022-09826-z,0
,10.1007/s10570-023-05592-z,0
,10.1007/s00289-023-04703-x,0
,10.1007/s00706-022-03009-4,0
,10.1007/s10904-023-02664-2,0
,10.1007/s00723-023-01571-6,0
,10.1007/s00723-023-01605-z,0
,10.1007/s00706-022-02957-1,0
,10.1007/s41981-023-00282-0,0
,10.1007/s00723-023-01609-9,0
,10.1007/s10863-023-09986-3,0
,10.1007/s41981-023-00278-w,0
,10.1038/s41429-023-00658-3,0
,10.1007/s00706-023-03063-6,0
,10.1007/s00723-023-01585-0,0
,10.1007/s00706-022-02894-z,0
,10.1007/s00723-023-01621-z,0
,10.1007/s10904-023-02639-3,0
,10.1007/s00723-023-01599-8,0
,10.1038/s41557-023-01314-x,0
,10.1007/s00289-023-04700-0,0
,10.1007/s00289-023-04670-3,0
,10.1007/s11101-022-09834-z,0
,10.1007/s41981-023-00291-z,0
,10.1007/s11101-022-09835-y,0
,10.1007/s10570-023-05514-z,0
,10.1007/s00723-023-01602-2,0
,10.1007/s00706-023-03050-x,0
,10.1007/s00723-023-01606-y,0
,10.1007/s11101-022-09836-x,0
,10.1007/s00706-023-03054-7,0
,10.1038/s41557-023-01319-6,0
,10.1007/s11101-022-09838-9,0
,10.1007/s10570-023-05631-9,0
,10.1007/s00723-023-01626-8,0
,10.1007/s00723-023-01596-x,0
,10.1007/s00723-023-01557-4,0
,10.1007/s11101-022-09840-1,0
,10.1007/s10570-023-05549-2,0
,10.1007/s10570-023-05578-x,0
,10.1007/s00706-022-02988-8,0
,10.1007/s13738-023-02891-x,0
,10.1038/s41429-023-00685-0,0
,10.1186/s40538-023-00512-6,0
,10.1007/s10570-023-05581-2,0
,10.1038/s41596-023-00940-6,0
,10.1186/s40538-023-00514-4,0
,10.1007/s00214-023-03069-7,0
,10.1038/s41557-023-01401-z,0
,10.1007/s00706-023-03139-3,0
,10.1186/s40538-023-00515-3,0
,10.1007/s41981-023-00293-x,0
,10.1007/s10904-023-02920-5,0
,10.1007/s10570-023-05613-x,0
,10.1007/s10904-023-02921-4,0
,10.1007/s00289-023-05052-5,0
,10.1038/s41557-023-01367-y,0
,10.1038/s41429-023-00684-1,0
,10.1007/s11030-023-10748-x,0
,10.1038/s41557-023-01403-x,0
,10.1186/s40538-023-00509-1,0
,10.1038/s41557-023-01360-5,0
,10.1186/s40538-023-00505-5,0
,10.1186/s40538-023-00503-7,0
,10.1038/s41557-023-01324-9,0
,10.1186/s40538-023-00508-2,0
,10.1007/s00214-023-03034-4,0
,10.1186/s40538-023-00507-3,0
,10.1186/s40538-023-00504-6,0
,10.1007/s10847-023-01210-4,0
,10.1007/s13738-023-02909-4,0
,10.1038/s41557-023-01374-z,0
,10.1186/s40538-023-00481-w,0
,10.1186/s40538-023-00496-3,0
,10.1186/s40538-023-00501-9,0
,10.1186/s40538-023-00499-0,0
,10.1007/s00214-023-03064-y,0
,10.1186/s40538-023-00498-1,0
,10.1007/s10904-023-02890-8,0
,10.1007/s10904-023-02917-0,0
,10.1186/s40538-023-00502-8,0
,10.1007/s11030-023-10761-0,0
,10.1186/s40538-023-00500-w,0
,10.1007/s00214-023-03063-z,0
,10.1007/s10570-023-05569-y,0
,10.1007/s41981-023-00286-w,0
,10.1007/s00723-023-01627-7,0
,10.1038/s41429-023-00654-7,0
,10.1134/S1068162023060298,0
,10.1007/s10600-023-04237-8,0
,10.1038/s41596-023-00862-3,0
,10.1038/s41570-023-00549-z,0
,10.1007/s10570-023-05498-w,0
,10.1038/s41429-023-00650-x,0
,10.1007/s13738-023-02871-1,0
,10.1007/s00289-022-04614-3,0
,10.1007/s00289-022-04565-9,0
,10.1007/s10570-023-05571-4,0
,10.1186/s40538-023-00468-7,0
,10.1007/s00289-022-04641-0,0
,10.1038/s41557-023-01344-5,0
,10.1007/s10570-023-05503-2,0
,10.1007/s10904-023-02756-z,0
,10.1007/s10570-023-05544-7,0
,10.1007/s10570-023-05505-0,0
,10.1007/s10570-023-05534-9,0
,10.1007/s10570-023-05545-6,0
,10.1007/s10570-023-05479-z,0
,10.1038/s41557-023-01320-z,0
