"DOI","Title","Abstract","Journal","Authors","Keywords","Institute of Origin","Funding","Enrichment Status"
"10.1039/D4SC05369A","Exploring Efficient and Air-Stable d2 Re(V) Alkylidyne Catalysts: Toward Room Temperature Alkyne Metathesis","N/A","N/A","Mingxu Cui, Jie Huang, Long Yiu Tsang, Herman H‐Y. Sung, Ian D. Williams, Guochen Jia","","","N/A","Success"
"10.1039/D1SC03007H","Highly efficient on-DNA amide couplings promoted by micelle forming surfactants for the synthesis of DNA encoded libraries","N/A","N/A","James H. Hunter, Matthew J. Anderson, Isaline F. S. F. Castan, Jessica S. Graham, Catherine L. A. Salvini, Harriet A. Stanway‐Gordon, James J. Crawford, Andrew Madin, Garry Pairaudeau, Michael J. Waring","","","N/A","Success"
"10.1039/D2SC00345G","Structural and dynamical determinants of a β-sheet-enriched intermediate involved in amyloid fibrillar assembly of human prion protein","N/A","N/A","Massimiliano Galdiero, Giulia Salzano, Andrea Corvino, Edoardo Bistaffa, Fabio Moda, Luigi Celauro, Gianluca D’Abrosca, Carla Isernia, Danilo Milardi, Gabriele Giachin, Gaetano Malgieri, Giuseppe Legname, Roberto Fattorusso","","","N/A","Success"
"10.1039/D3SC01927F","Gaining control on optical force by the stimulated-emission resonance effect","N/A","N/A","Tetsuhiro Kudo, Boris Louis, Hikaru Sotome, Jim Jui‐Kai Chen, Syoji Ito, Hiroshi Miyasaka, Hiroshi Masuhara, Johan Hofkens, Roger Bresolí‐Obach","","","N/A","Success"
"10.1039/D4SC03861D","Single-Molecule Detection of a Terrylenediimide-Based Near-Infrared Emitter","N/A","N/A","Suvarna Sujilkumar, Philip Daniel Maret, Kavya Vinod, A. John, Mahesh Hariharan","","","N/A","Success"
"10.1039/D3SC03991A","Systematic exploration of accessible topologies of cage molecules via minimalistic models","N/A","N/A","Andrew Tarzia, Emma H. Wolpert, Kim E. Jelfs, Giovanni M. Pavan","","","N/A","Success"
"10.1039/D2SC00443G","Photoelectrochemical water oxidation improved by pyridine N-oxide as a mimic of tyrosine-Z in photosystem II","N/A","N/A","Yong Zhu, Guoquan Liu, Ran Zhao, Hua Gao, Xiaona Li, Licheng Sun, Fei Li","","","N/A","Success"
"10.1039/D1SC02975D","Dissecting the activation of insulin degrading enzyme by inositol pyrophosphates and their bisphosphonate analogs","N/A","N/A","Sarah Hostachy, Tillmann Utesch, Katy Franke, Gillian L. Dornan, David Furkert, Berke Türkaydin, Volker Haucke, Han Sun, Dorothea Fiedler","","","N/A","Success"
"10.1039/D0SC04469E","“Bottled” spiro-doubly aromatic trinuclear [Pd2Ru]+complexes","N/A","N/A","Maksim Kulichenko, Nikita Fedik, Anna Monfredini, Álvaro Muñoz-Castro, Davide Balestri, Alexander I. Boldyrev, Giovanni Maestri","","","N/A","Success"
"10.1039/D3SC05865D","Peptide Macrocyclisation via Intramolecular Interception of Visible-Light-Mediated Desulfurisation","N/A","N/A","Frances R. Smith, Declan Meehan, Rhys C. Griffiths, Harriet Knowles, Peiyu Zhang, Huw E. L. Williams, Andrew J. Wilson, Nicholas J. Mitchell","","","N/A","Success"
"10.1039/D1SC01175H","Efficient and organic host–guest room-temperature phosphorescence: tunable triplet–singlet crossing and theoretical calculations for molecular packing","N/A","N/A","Yunxiang Lei, Jiaxin Yang, Wenbo Dai, Yisha Lan, Jianhui Yang, Xiaoyan Zheng, Jianbing Shi, Bin Tong, Zhengxu Cai, Yuping Dong","","","N/A","Success"
"10.1039/D4SC01300J","4f-Orbital Mixing Increases the Magnetic Susceptibility of Cp′3Eu","N/A","N/A","Sebastian Günther, Yusen Qiao, Patrick W. Smith, Sierra R. Ciccone, Alexander S. Ditter, Daniel N. Huh, Liane M. Moreau, David K. Shuh, Taoxiang Sun, Polly L. Arnold, Corwin H. Booth, Wibe A. de Jong, William J. Evans, Wayne W. Lukens, Stefan G. Minasian","","","N/A","Success"
"10.1039/D1SC01976G","Characterization and chemical reactivity of room-temperature-stable MnIII–alkylperoxo complexes","N/A","N/A","Adedamola A. Opalade, Joshua D. Parham, Victor W. Day, Timothy A. Jackson","","","N/A","Success"
"10.1039/D1SC04139H","Tunable heteroaromatic azoline thioethers (HATs) for cysteine profiling","N/A","N/A","Kuei C. Tang, Sean M. Maddox, Keriann M. Backus, Monika Raj","","","N/A","Success"
"10.1039/D2SC02317B","Perpetuating enzymatically induced spatiotemporal pH and catalytic heterogeneity of a hydrogel by nanoparticles","N/A","N/A","Rishi Ram Mahato, Priyanka Sharma, Ekta Shandilya, Subhabrata Maiti","","","N/A","Success"
"10.1039/D3SC03105E","Understanding the evolution of double perovskite band structure upon dimensional reduction","N/A","N/A","Bridget A. Connor, Alexander C. Su, Adam H. Slavney, Linn Leppert, Hemamala I. Karunadasa","","","N/A","Success"
"10.1039/D3SC01867A","Disulfide radical anion as a super-reductant in biology and photoredox chemistry","N/A","N/A","Qilei Zhu, Cyrille Costentin, JoAnne Stubbe, Daniel G. Nocera","","","N/A","Success"
"10.1039/D3SC03133K","Dynamic self-assembly of supramolecular catalysts from precision macromolecules","N/A","N/A","Qian Qin, Jie Li, David Dellemme, Mathieu Fossépré, Gabriella Barozzino‐Consiglio, Imane Nekkaa, Adrian Boborodea, Antony E. Fernandes, Karine Glinel, Mathieu Surin, Alain M. Jonas","","","N/A","Success"
"10.1039/D0SC04263C","One class classification as a practical approach for accelerating π–π co-crystal discovery","N/A","N/A","Aikaterini Vriza, Angelos B. Canaj, Rebecca Vismara, Laurence J. Kershaw Cook, Troy D. Manning, Michael W. Gaultois, P.A. Wood, Vitaliy Kurlin, Neil G. Berry, Matthew S. Dyer, Matthew J. Rosseinsky","","","N/A","Success"
"10.1039/D1SC06122D","Electro-oxidation of amino-functionalized multiwalled carbon nanotubes","N/A","N/A","Yuanyuan Lu, Xiuting Li, Richard G. Compton","","","N/A","Success"
"10.1039/D3SC03090C","A visible-light-driven molecular motor based on barbituric acid","N/A","N/A","Kim Kuntze, Daisy R. S. Pooler, Mariangela Di Donato, Michiel Hilbers, Pieter van der Meulen, Wybren Jan Buma, Arri Priimägi, Ben L. Feringa, Stefano Crespi","","","N/A","Success"
"10.1039/D3SC02345A","Salt-stabilized alkylzinc pivalates: versatile reagents for cobalt-catalyzed selective 1,2-dialkylation","N/A","N/A","Jie Lin, Kaixin Chen, Jixin Wang, Jiawei Guo, Siheng Dai, Ying Hu, Jie Li","","","N/A","Success"
"10.1039/D3SC00500C","In vivo biocompatibility of ZIF-8 for slow release via intranasal administration","N/A","N/A","Sneha Kumari, Thomas S. Howlett, Ryanne N. Ehrman, Shailendra Koirala, Orikeda Trashi, Ikeda Trashi, Yalini H. Wijesundara, Jeremiah J. Gassensmith","","","N/A","Success"
"10.1039/D4SC04619F","Facile and scale-up syntheses of high-performance enzyme@meso-HOF biocatalysts","Facile and scale-up fabrication of enzyme-loaded mesoporous hydrogen-bonded organic frameworks as efficient biocatalysts is achieved.","Chemical Science","Zhengyi Di, Yu Qi, Xin-Xin Yu, Hai-Ruo Li, Meng-Xuan Zuo, Tian-Tian Ren, Cheng-Peng Li, Yanli Zhao","","N/A","N/A","Already Complete"
"10.1039/D4SC04034A","Phospha-bicyclohexene-germylenes exhibiting unexpected reactivity","N/A","N/A","Marie S. Würdemann, Stephen J. Kuhn, Tobias Bötel, Marc Schmidtmann, Thomas Müller","","","N/A","Success"
"10.1039/D0SC05447J","Inhibitors of thiol-mediated uptake","N/A","N/A","Yangyang Cheng, Anh‐Tuan Pham, Takehiro Kato, Bumhee Lim, Dimitri Moreau, Javier López‐Andarias, Lili Zong, Naomi Sakai, Stefan Matile","","","N/A","Success"
"10.1039/D1SC00482D","Reaction-based machine learning representations for predicting the enantioselectivity of organocatalysts","N/A","N/A","Simone Gallarati, Raimón Fabregat, Rubén Laplaza, Sinjini Bhattacharjee, Matthew D. Wodrich, Clémence Corminbœuf","","","N/A","Success"
"10.1039/D1SC01571K","Direct amidation of metallaaromatics: access to N-functionalized osmapentalynes via a 1,5-bromoamidated intermediate","N/A","N/A","Hongjian Wang, Yonghong Ruan, Yu‐Mei Lin, Haiping Xia","","","N/A","Success"
"10.1039/D3SC02913A","Hydrogen spillover and substrate–support hydrogen bonding mediate hydrogenation of phenol catalyzed by palladium on reducible metal oxides","N/A","N/A","Yeongseo An, Puranjan Chatterjee, Pranjali Naik, sayak Banerjee, Wenyu Huang, Igor I. Slowing, Vincenzo Venditti","","","N/A","Success"
"10.1039/D4SC03528C","Reaction Acceleration at the Surface of a Levitated Droplet by Vapor Dosing from a Partner Droplet","N/A","N/A","Lingqi Qiu, Xi-Lai Li, Dylan T. Holden, R. Graham Cooks","","","N/A","Success"
"10.1039/D4SC05018E","Exclusive catalytic hydrogenation of nitrobenzene toward p-aminophenol over atomically precise Au36(SR)24 clusters","N/A","N/A","Jinzhi Lu, Jiaqi Zhang, Guodong Qi, Chao Juan, Jun Xu, Zhen‐Feng Cai, Dan Li, Xiao Cai, Xu Liu, Mingyang Chen, Weiping Ding, Yan Zhu","","","N/A","Success"
"10.1039/D3SC04165D","Inserting an “atomic trap” for directional dopant migration in core/multi-shell quantum dots","N/A","N/A","Chun Chu, Elan Hofman, Chengpeng Gao, Shuya Li, Hanjie Lin, Walker MacSwain, John M. Franck, Robert W. Meulenberg, Arindam Chakraborty, Weiwei Zheng","","","N/A","Success"
"10.1039/D2SC04661J","Thiazole fused S,N-heteroacene step-ladder polymeric semiconductors for organic transistors","N/A","N/A","Salahuddin Attar, Rui Yang, Zhihui Chen, Xiaozhou Ji, Marc Comí, Sarbajit Banerjee, Lei Fang, Yao Liu, Mohammed Al‐Hashimi","","","N/A","Success"
"10.1039/D4SC00917G","Boosting Charge Separation in Organic Photovoltaics: Unveiling Dipole Moment Variations in Excited Non-Fullerene Acceptor Layers","N/A","N/A","Akira Yamakata, Kosaku Kato, Takumi Urakami, Sota Tsujimura, Kasumi Murayama, Masahiro Higashi, Hirofumi Sato, Yasuhiro Kobori, Tomokazu Umeyama, Hiroshi Imahori","","","N/A","Success"
"10.1039/D1SC01331A","Light-guided intrabodies for on-demand in situ target recognition in human cells","N/A","N/A","Eike F. Joest, Christian Winter, Joshua S. Wesalo, Alexander Deiters, Robert Tampé","","","N/A","Success"
"10.1039/D1SC01717A","Expanding excitation wavelengths for azobenzene photoswitching into the near-infrared range via endothermic triplet energy transfer","N/A","N/A","Jussi Isokuortti, Kim Kuntze, Matti Virkki, Zafar Ahmed, Elina Vuorimaa, Mikhail A. Filatov, Andrey Turshatov, Timo Laaksonen, Arri Priimägi, Nikita A. Durandin","","","N/A","Success"
"10.1039/D3SC06575H","Synthesis of a dendritic cell-targeted self-assembled polymeric nanoparticle for selective delivery of mRNA vaccines to elicit enhanced immune responses","N/A","N/A","Chen‐Yo Fan, Szu‐Wen Wang, Cinya Chung, Jia‐Yan Chen, Chia-Yen Chang, Sheau‐Chiou Chao, Tsui-Ling Hsu, Ting-Jen Rachel Cheng, Chi‐Huey Wong","","","N/A","Success"
"10.1039/D3SC01497E","A nickel-based metal–organic framework as a new cathode for chloride ion batteries with superior cycling stability","N/A","N/A","Qing Yin, Zhihao Song, Shuhan Yang, Li Wang, Yanwei Sui, Jiqiu Qi, Danyang Zhao, Lei Hou, Yong‐Zhi Li","","","N/A","Success"
"10.1039/D1SC06634J","Temperature triggered alternating copolymerization of epoxides and lactones via pre-sequenced spiroorthoester intermediates","N/A","N/A","Hyuk‐Joon Jung, Chatura Goonesinghe, Parisa Mehrkhodavandi","","","N/A","Success"
"10.1039/D0SC00063A","Real-time tracking of the entangled pathways in the multichannel photodissociation of acetaldehyde","N/A","N/A","Chung-Hsin Yang, Surjendu Bhattacharyya, L.H. Liu, Wei‐Hai Fang, Kopin Liu","","","N/A","Success"
